SportId;SportName;SportIntroduction;SportImage
29;Panathlon;A ‘panathlon’ is the common term for a multi-sport competition specifically for disabled athletes. Named after the charity of the same name, a panathlon helps change the lives of thousands of young disabled people every year through sport.;https://media.yourschoolgames.com/images/Panathlon_BxRD3Ze.width-450.png
30;Polybat;An individual sport suitable for all athletes, including those with disabilities, but particularly beneficial for anyone with balance or coordination issues, polybat has become a popular inclusion in School Games events across the country.;https://media.yourschoolgames.com/images/Polybat_1awg4F4.width-450.png
31;Rounders;A bat-and-ball game played between two teams of between six and fifteen players. Rounders has been played in England since Tudor times and remains most popular in its country of origin, where the game has developed into the one we know today.;https://media.yourschoolgames.com/images/Rounders_Ipj5HmC.width-450.png
32;Rowing;"A water-based sport in which individuals or crews race to reach the finish line first; one of the oldest sports, dating its origins back to Ancient Egypt, rowing is now popular worldwide and is one of the cornerstones of the Summer Olympic Games.";https://media.yourschoolgames.com/images/Rowing.width-450.png
33;Rugby League;"An invasion game played in a variety of formats; 13-a-side contact on a full pitch is our traditional version, but you can also play 9s, X-League, Tag or Touch on smaller pitches and choose between semi and non-contact variations.";https://media.yourschoolgames.com/images/Rugby_League_Cldo9r2.width-450.png
34;Rugby Union;Rugby Union is fun and inclusive sport with many formats suitable for all. From non-contact mixed Touch Rugby, through the fast-paced rugby 7s to the full XV a side version with scrums, lineouts and contact – rugby union has something for everyone.;https://media.yourschoolgames.com/images/Rugby_Union_QOmhnFB.width-450.png
35;Sailing and Windsurfing;"A water-based sport which involves racing through a predetermined course; there are many different types of boat which could be used for competition, from dinghies to huge raceboats. Windsurfing simply combines sailing with a surfing element.";https://media.yourschoolgames.com/images/Sailing_6U4j9k1.width-450.png
36;Softball;Baseball and softball have a global appeal and are rapidly growing, inclusive sports in the UK. This is highlighted by the fact that they are played by boys and girls in schools and in the School Games.;https://media.yourschoolgames.com/images/Softball.width-450.png
37;Squash;A ball sport played by two (singles) or four players (doubles). Matches take place in a four-walled court with players using squash rackets and a small rubber ball. It’s extremely popular in the United Kingdom, Australia, and some parts of Asia.;https://media.yourschoolgames.com/images/Squash_uRGjtIi.width-450.png
38;Swimming and Aquatics;Swimming has been around for centuries. It is one of the most popular sports for individuals and teams. Common water-based disciplines include recreational/competitive lane swimming, water polo, artistic swimming, diving, open water swimming etc.;https://media.yourschoolgames.com/images/Swimming_m4of6CF.width-450.png
39;Table Cricket;"An indoor sport which resembles a miniature version of cricket; Played on a large table top, the sport is designed for those with severe physical or learning disabilities and offers them the opportunity to play cricket, although it can be enjoyed by all.";https://media.yourschoolgames.com/images/Table_cricket.width-450.png
40;Table Tennis;Table Tennis is a racket sport that can be played individually, in pairs or in teams. Players win a set by earning at least 11 points and having 2 or more points than their opponents.;https://media.yourschoolgames.com/images/Table_Tennis_jBhnUYH.width-450.png
41;Tennis;"A hugely popular racket sport that can be played both individually or between two teams of two players on different surfaces; each player or team uses a tennis racket to strike a felt covered rubber ball over a net and into their opponent’s court.";https://media.yourschoolgames.com/images/Tennis_q1pA6CV.width-450.png
42;Triathlon;Triathlon is a multi-discipline sport consisting of swimming, cycling, running and transitions. From individual participation through to team relays, it is a great sport to encourage children to get active & healthy.;https://media.yourschoolgames.com/images/Triathlon_qYYWSJP.width-450.png
43;Ultimate Frisbee;A fast-moving game played between two teams on a pitch split into three zones. The aim is to pass the frisbee to a teammate in the endzone you’re attacking. The other team takes possession if your pass is not caught.;https://media.yourschoolgames.com/images/ultimate-frisbee-cmyk_FV.width-450.png
44;Volleyball;A team sport featuring two teams of six players. Each team aims to score points by striking a ball over the net and grounding it on their opponent's side of the court. A common variation of the game, Beach Volleyball, also features at the Olympics.;https://media.yourschoolgames.com/images/Volleyball_773Qpko.width-450.png
45;Wheelchair Basketball;A variation of the traditional game of basketball played in wheelchairs by people with disabilities. It is one of the most popular and commonly known disability sports due to its long-standing association with the Summer Paralympic Games.;https://media.yourschoolgames.com/images/Wheelchair_Basketball_YpMy6By.width-450.png
46;Figure Skating;Figure skating involves skating on a surface of ice or akin to that of ice. It involves skating with figure skates and performing tricks and dancing to demonstrate one\u2019s skill of balance on the ice. It is an individual sport, but a duo or trio can also perform together. This is a popular Olympic sport as well.;https://penaltyfile.com/wp-content/uploads/2020/06/different-types-of-sports-June32020-19-min.jpg
47;Bowling;Bowling is a target sport and recreational activity in which a player rolls a ball toward pins (in pin bowling) or another target (in target bowling). The term bowling usually refers to pin bowling (most commonly ten-pin bowling), though in the United Kingdom and Commonwealth countries, bowling could also refer to target bowling, such as lawn bowls.;https://cdn.icon-icons.com/icons2/1465/PNG/512/673bowling_100924.png
48;Meditation;Meditation is a practice where an individual uses a technique – such as mindfulness, or focusing the mind on a particular object, thought, or activity – to train attention and awareness, and achieve a mentally clear and emotionally calm and stable state.;https://static.thenounproject.com/png/2776601-200.png
49;billiards;Cue sports (sometimes written cuesports), also known as billiard sports, are a wide variety of games of skill generally played with a cue stick, which is used to strike billiard balls and thereby cause them to move around a cloth-covered billiards table bounded by elastic bumpers known as cushions.;https://thenounproject.com/term/billiards/43731/
